fixture_id,timestamp,venue,api_home_team_id,api_away_team_id,home_score,away_score
710849,1647702000,550,40,33,,
710850,1647702000,555,50,51,,
710851,1647702000,562,34,52,,
710852,1647702000,565,71,49,,
710853,1647702000,593,47,48,,
710854,1647702000,596,38,45,,
710855,1647702000,600,39,63,,
710856,1648908000,508,51,71,,
710857,1648908000,512,44,50,,
710858,1648908000,519,49,55,,
710859,1648908000,525,52,42,,
710860,1648908000,546,63,41,,
710861,1648908000,550,40,38,,
710862,1648908000,556,33,46,,
710863,1648908000,593,47,34,,
710864,1648908000,598,48,45,,
710865,1648908000,600,39,66,,
710866,1649512800,494,42,51,,
710867,1649512800,495,66,47,,
710868,1649512800,10503,55,48,,
710869,1649512800,8560,45,33,,
710870,1649512800,547,46,52,,
710871,1649512800,555,50,40,,
710872,1649512800,562,34,39,,
710873,1649512800,565,71,44,,
710874,1649512800,585,41,49,,
710875,1649512800,596,38,63,,
710876,1650117600,495,66,40,,
710877,1650117600,8560,45,52,,
710878,1650117600,546,63,49,,
710879,1650117600,556,33,71,,
710880,1650117600,562,34,46,,
710881,1650117600,585,41,42,,
710882,1650117600,593,47,51,,
710883,1650117600,596,38,55,,
710884,1650117600,598,48,44,,
710885,1650117600,600,39,50,,
710886,1650722400,494,42,33,,
710887,1650722400,10503,55,47,,
710888,1650722400,508,51,41,,
710889,1650722400,512,44,39,,
710890,1650722400,519,49,48,,
710891,1650722400,525,52,63,,
710892,1650722400,547,46,66,,
710893,1650722400,550,40,45,,
710894,1650722400,555,50,38,,
710895,1650722400,565,71,34,,
710896,1651327200,495,66,71,,
710897,1651327200,8560,45,49,,
710898,1651327200,546,63,50,,
710899,1651327200,556,33,55,,
710900,1651327200,562,34,40,,
710901,1651327200,585,41,52,,
710902,1651327200,593,47,46,,
710903,1651327200,596,38,44,,
710904,1651327200,598,48,42,,
710905,1651327200,600,39,51,,
710906,1651932000,494,42,63,,
710907,1651932000,10503,55,41,,
710908,1651932000,508,51,33,,
710909,1651932000,512,44,66,,
710910,1651932000,519,49,39,,
710911,1651932000,525,52,38,,
710912,1651932000,547,46,45,,
710913,1651932000,550,40,47,,
710914,1651932000,555,50,34,,
