,web_name,first_name,second_name,photo,team_code,element_type,short_name,name,singular_name,singular_name_short
64,Chukwuemeka,Carney,Chukwuemeka,478912.jpg,7,3,AVL,Aston Villa,Midfielder,MID
65,Archer,Cameron,Archer,433979.jpg,7,4,AVL,Aston Villa,Forward,FWD
66,Jansson,Pontus,Jansson,61810.jpg,94,2,BRE,Brentford,Defender,DEF
67,Nørgaard,Christian,Nørgaard,128295.jpg,94,3,BRE,Brentford,Midfielder,MID
68,Toney,Ivan,Toney,144485.jpg,94,4,BRE,Brentford,Forward,FWD
69,Fosu,Tariqe,Fosu-Henry,154138.jpg,94,3,BRE,Brentford,Midfielder,MID
70,Raya,David,Raya Martin,154561.jpg,94,1,BRE,Brentford,Goalkeeper,GKP
71,Canós,Sergi,Canós,174932.jpg,94,3,BRE,Brentford,Midfielder,MID
72,Dasilva,Pelenda Joshua,Dasilva,183656.jpg,94,3,BRE,Brentford,Midfielder,MID
73,Henry,Rico,Henry,194010.jpg,94,2,BRE,Brentford,Defender,DEF
74,Janelt,Vitaly,Janelt,204580.jpg,94,3,BRE,Brentford,Midfielder,MID
75,Ghoddos,Saman,Ghoddos,205836.jpg,94,3,BRE,Brentford,Midfielder,MID
76,Jensen,Mathias,Jensen,207283.jpg,94,3,BRE,Brentford,Midfielder,MID
77,Goode,Charlie,Goode,213687.jpg,94,2,BRE,Brentford,Defender,DEF
78,Forss,Marcus,Forss,216620.jpg,94,4,BRE,Brentford,Forward,FWD
79,Roerslev,Mads,Roerslev Rasmussen,226956.jpg,94,2,BRE,Brentford,Defender,DEF
80,Sørensen,Mads,Bech Sørensen,228044.jpg,94,2,BRE,Brentford,Defender,DEF
81,Pinnock,Ethan,Pinnock,231065.jpg,94,2,BRE,Brentford,Defender,DEF
82,Balcombe,Ellery,Balcombe,235448.jpg,94,1,BRE,Brentford,Goalkeeper,GKP
83,Zamburek,Jan,Zamburek,420922.jpg,94,3,BRE,Brentford,Midfielder,MID
84,Gunnarsson,Patrik,Gunnarsson,434024.jpg,94,1,BRE,Brentford,Goalkeeper,GKP
85,Dervişoğlu,Halil,Dervişoğlu,434662.jpg,94,4,BRE,Brentford,Forward,FWD
86,Mbeumo,Bryan,Mbeumo,446008.jpg,94,3,BRE,Brentford,Midfielder,MID
87,Bidstrup,Mads,Bidstrup,481405.jpg,94,3,BRE,Brentford,Midfielder,MID
88,Onyeka,Frank,Onyeka,428580.jpg,94,3,BRE,Brentford,Midfielder,MID
89,Ajer,Kristoffer,Ajer,191866.jpg,94,2,BRE,Brentford,Defender,DEF
90,Thompson,Dominic,Thompson,232247.jpg,94,2,BRE,Brentford,Defender,DEF
91,Baptiste,Shandon,Baptiste,432160.jpg,94,3,BRE,Brentford,Midfielder,MID
92,Wissa,Yoane,Wissa,216646.jpg,94,3,BRE,Brentford,Midfielder,MID
93,Fernández,Álvaro,Fernández,240796.jpg,94,1,BRE,Brentford,Goalkeeper,GKP
94,Stevens,Finley,Stevens,450550.jpg,94,2,BRE,Brentford,Defender,DEF
95,Lallana,Adam,Lallana,39155.jpg,36,3,BHA,Brighton,Midfielder,MID
96,Steele,Jason,Steele,49262.jpg,36,1,BHA,Brighton,Goalkeeper,GKP
97,Groß,Pascal,Groß,60307.jpg,36,3,BHA,Brighton,Midfielder,MID
98,Duffy,Shane,Duffy,61933.jpg,36,2,BHA,Brighton,Defender,DEF
99,Pröpper,Davy,Pröpper,66242.jpg,36,3,BHA,Brighton,Midfielder,MID
100,Burn,Dan,Burn,78916.jpg,36,2,BHA,Brighton,Defender,DEF
101,Dunk,Lewis,Dunk,83299.jpg,36,2,BHA,Brighton,Defender,DEF
102,March,Solomon,March,109345.jpg,36,3,BHA,Brighton,Midfielder,MID
103,Webster,Adam,Webster,110735.jpg,36,2,BHA,Brighton,Defender,DEF
104,Veltman,Joël,Veltman,111478.jpg,36,2,BHA,Brighton,Defender,DEF
105,Maupay,Neal,Maupay,115382.jpg,36,4,BHA,Brighton,Forward,FWD
106,Trossard,Leandro,Trossard,116216.jpg,36,3,BHA,Brighton,Midfielder,MID
107,Ryan,Mathew,Ryan,131897.jpg,36,1,BHA,Brighton,Goalkeeper,GKP
108,Jahanbakhsh,Alireza,Jahanbakhsh,165210.jpg,36,3,BHA,Brighton,Midfielder,MID
109,Bernardo,Bernardo,Fernandes Da Silva Junior,209362.jpg,36,2,BHA,Brighton,Defender,DEF
110,Sánchez,Robert,Sánchez,215059.jpg,36,1,BHA,Brighton,Goalkeeper,GKP
111,Bissouma,Yves,Bissouma,227127.jpg,36,3,BHA,Brighton,Midfielder,MID
112,Lamptey,Tariq,Lamptey,232792.jpg,36,2,BHA,Brighton,Defender,DEF
113,Connolly,Aaron,Connolly,233425.jpg,36,4,BHA,Brighton,Forward,FWD
114,Alzate,Steven,Alzate,235382.jpg,36,3,BHA,Brighton,Midfielder,MID
115,Mac Allister,Alexis,Mac Allister,243016.jpg,36,3,BHA,Brighton,Midfielder,MID
116,Moder,Jakub,Moder,243505.jpg,36,3,BHA,Brighton,Midfielder,MID
117,Welbeck,Danny,Welbeck,50175.jpg,36,4,BHA,Brighton,Forward,FWD
118,Mwepu,Enock,Mwepu,423649.jpg,36,3,BHA,Brighton,Midfielder,MID
119,Scherpen,Kjell,Scherpen,240514.jpg,36,1,BHA,Brighton,Goalkeeper,GKP
120,Andone,Florin,Andone,93284.jpg,36,4,BHA,Brighton,Forward,FWD
121,Zeqiri,Andi,Zeqiri,204676.jpg,36,4,BHA,Brighton,Forward,FWD
122,Karbownik,Michal,Karbownik,442229.jpg,36,2,BHA,Brighton,Defender,DEF
123,Richards,Taylor,Richards,209045.jpg,36,3,BHA,Brighton,Midfielder,MID
124,Caicedo,Moisés,Caicedo,486672.jpg,36,3,BHA,Brighton,Midfielder,MID
125,Roberts,Haydon,Roberts,433589.jpg,36,2,BHA,Brighton,Defender,DEF
126,Tarkowski,James,Tarkowski,17761.jpg,90,2,BUR,Burnley,Defender,DEF
127,Bardsley,Phil,Bardsley,17997.jpg,90,2,BUR,Burnley,Defender,DEF
128,Pieters,Erik,Pieters,39487.jpg,90,2,BUR,Burnley,Defender,DEF
129,Cork,Jack,Cork,40145.jpg,90,3,BUR,Burnley,Midfielder,MID
130,Stephens,Dale,Stephens,40845.jpg,90,3,BUR,Burnley,Midfielder,MID
131,Long,Kevin,Long,41674.jpg,90,2,BUR,Burnley,Defender,DEF
132,Rodriguez,Jay,Rodriguez,44683.jpg,90,4,BUR,Burnley,Forward,FWD
133,Barnes,Ashley,Barnes,44699.jpg,90,4,BUR,Burnley,Forward,FWD
134,Mee,Ben,Mee,51927.jpg,90,2,BUR,Burnley,Defender,DEF
135,Westwood,Ashley,Westwood,60551.jpg,90,3,BUR,Burnley,Midfielder,MID
136,Gudmundsson,Johann Berg,Gudmundsson,60586.jpg,90,3,BUR,Burnley,Midfielder,MID
137,Wood,Chris,Wood,60689.jpg,90,4,BUR,Burnley,Forward,FWD
138,Lowton,Matthew,Lowton,68983.jpg,90,2,BUR,Burnley,Defender,DEF
139,Vydra,Matej,Vydra,81183.jpg,90,4,BUR,Burnley,Forward,FWD
140,Pope,Nick,Pope,98747.jpg,90,1,BUR,Burnley,Goalkeeper,GKP
141,Taylor,Charlie,Taylor,103914.jpg,90,2,BUR,Burnley,Defender,DEF
142,Norris,Will,Norris,168399.jpg,90,1,BUR,Burnley,Goalkeeper,GKP
143,Brownhill,Josh,Brownhill,172782.jpg,90,3,BUR,Burnley,Midfielder,MID
144,Benson,Josh,Benson,217401.jpg,90,3,BUR,Burnley,Midfielder,MID
145,Peacock-Farrell,Bailey,Peacock-Farrell,220037.jpg,90,1,BUR,Burnley,Goalkeeper,GKP
146,McNeil,Dwight,McNeil,433154.jpg,90,3,BUR,Burnley,Midfielder,MID
147,Collins,Nathan,Collins,432830.jpg,90,2,BUR,Burnley,Defender,DEF
148,Hennessey,Wayne,Hennessey,20066.jpg,90,1,BUR,Burnley,Goalkeeper,GKP
149,Richardson,Lewis,Richardson,461096.jpg,90,4,BUR,Burnley,Forward,FWD
150,Thomas,Bobby,Thomas,461102.jpg,90,2,BUR,Burnley,Defender,DEF
151,Dodgson,Owen,Dodgson,461567.jpg,90,2,BUR,Burnley,Defender,DEF
152,Lennon,Aaron,Lennon,17349.jpg,90,3,BUR,Burnley,Midfielder,MID
153,Azpilicueta,César,Azpilicueta,41328.jpg,8,2,CHE,Chelsea,Defender,DEF
154,Giroud,Olivier,Giroud,44346.jpg,8,4,CHE,Chelsea,Forward,FWD
155,Thiago Silva,Thiago,Emiliano da Silva,51090.jpg,8,2,CHE,Chelsea,Defender,DEF
156,Alonso,Marcos,Alonso,82263.jpg,8,2,CHE,Chelsea,Defender,DEF
157,Jorginho,Jorge Luiz,Frello Filho,85955.jpg,8,3,CHE,Chelsea,Midfielder,MID
158,Barkley,Ross,Barkley,88894.jpg,8,3,CHE,Chelsea,Midfielder,MID
159,Kovacic,Mateo,Kovacic,91651.jpg,8,3,CHE,Chelsea,Midfielder,MID
160,Batshuayi,Michy,Batshuayi,94245.jpg,8,4,CHE,Chelsea,Forward,FWD
161,Rüdiger,Antonio,Rüdiger,102380.jpg,8,2,CHE,Chelsea,Defender,DEF
162,Arrizabalaga,Kepa,Arrizabalaga,109745.jpg,8,1,CHE,Chelsea,Goalkeeper,GKP
163,Kanté,N'Golo,Kanté,116594.jpg,8,3,CHE,Chelsea,Midfielder,MID
164,Ziyech,Hakim,Ziyech,124183.jpg,8,3,CHE,Chelsea,Midfielder,MID
165,Loftus-Cheek,Ruben,Loftus-Cheek,126187.jpg,8,3,CHE,Chelsea,Midfielder,MID
166,Christensen,Andreas,Christensen,135363.jpg,8,2,CHE,Chelsea,Defender,DEF
167,Werner,Timo,Werner,165153.jpg,8,4,CHE,Chelsea,Forward,FWD
168,Chilwell,Benjamin,Chilwell,172850.jpg,8,2,CHE,Chelsea,Defender,DEF
169,Abraham,Tammy,Abraham,173879.jpg,8,4,CHE,Chelsea,Forward,FWD
170,Pulisic,Christian,Pulisic,176413.jpg,8,3,CHE,Chelsea,Midfielder,MID
171,Mount,Mason,Mount,184341.jpg,8,3,CHE,Chelsea,Midfielder,MID
172,Ampadu,Ethan,Ampadu,199598.jpg,8,2,CHE,Chelsea,Defender,DEF
173,Hudson-Odoi,Callum,Hudson-Odoi,209046.jpg,8,3,CHE,Chelsea,Midfielder,MID
174,Havertz,Kai,Havertz,219847.jpg,8,3,CHE,Chelsea,Midfielder,MID
175,James,Reece,James,225796.jpg,8,2,CHE,Chelsea,Defender,DEF
176,Mendy,Edouard,Mendy,228286.jpg,8,1,CHE,Chelsea,Goalkeeper,GKP
177,Sarr,Malang,Sarr,204727.jpg,8,2,CHE,Chelsea,Defender,DEF
178,Chalobah,Trevoh,Chalobah,180736.jpg,8,2,CHE,Chelsea,Defender,DEF
179,Lukaku,Romelu,Lukaku,66749.jpg,8,4,CHE,Chelsea,Forward,FWD
180,Emerson,Emerson,Palmieri dos Santos,109533.jpg,8,2,CHE,Chelsea,Defender,DEF
181,Gallagher,Conor,Gallagher,232787.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
182,Guaita,Vicente,Guaita,40836.jpg,31,1,CRY,Crystal Palace,Goalkeeper,GKP
183,Tomkins,James,Tomkins,49413.jpg,31,2,CRY,Crystal Palace,Defender,DEF
184,McArthur,James,McArthur,50471.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
185,Benteke,Christian,Benteke,54861.jpg,31,4,CRY,Crystal Palace,Forward,FWD
186,Kouyaté,Cheikhou,Kouyaté,55037.jpg,31,2,CRY,Crystal Palace,Defender,DEF
187,Kelly,Martin,Kelly,58786.jpg,31,2,CRY,Crystal Palace,Defender,DEF
188,Milivojevic,Luka,Milivojevic,66975.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
189,Ayew,Jordan,Ayew,80146.jpg,31,4,CRY,Crystal Palace,Forward,FWD
190,Zaha,Wilfried,Zaha,82403.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
191,Schlupp,Jeffrey,Schlupp,86417.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
192,Butland,Jack,Butland,105666.jpg,31,1,CRY,Crystal Palace,Goalkeeper,GKP
193,Riedewald,Jairo,Riedewald,173954.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
194,Jach,Jarosław,Jach,185478.jpg,31,2,CRY,Crystal Palace,Defender,DEF
195,Mateta,Jean-Philippe,Mateta,231747.jpg,31,4,CRY,Crystal Palace,Forward,FWD
196,Eze,Eberechi,Eze,232413.jpg,31,3,CRY,Crystal Palace,Midfielder,MID
197,Ferguson,Nathan,Ferguson,232423.jpg,31,2,CRY,Crystal Palace,Defender,DEF
