id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
100,11,0,0,0,0,0,0,0,0,0,0
101,174,0,0,0,0,0,0,0,4,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,84,0,0,0,0,0,0,1,0,0,0
105,188,1,0,0,0,0,0,1,4,0,0
106,270,1,0,0,0,0,0,0,5,0,0
107,180,0,0,0,0,0,1,0,3,0,0
108,230,1,0,0,0,0,0,1,4,0,0
109,254,0,0,0,0,1,0,0,5,0,0
110,270,0,0,0,0,0,1,0,5,0,0
111,16,0,0,0,0,0,0,0,1,0,0
112,270,0,0,0,0,0,0,0,5,11,0
113,270,0,0,0,0,0,0,0,5,0,0
114,0,0,0,0,0,0,0,0,0,0,0
115,191,1,0,0,0,0,0,0,3,0,0
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,258,0,0,0,0,0,0,0,5,0,0
451,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0,0
575,27,1,0,0,0,0,0,0,1,0,0
578,0,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0,0
119,246,0,0,0,0,0,0,2,1,0,0
120,0,0,0,0,0,0,0,0,0,0,0
121,45,0,0,0,0,0,0,0,0,0,0
122,265,0,0,0,0,1,0,2,1,0,0
123,266,0,0,0,0,0,0,2,1,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,206,0,0,0,0,0,1,2,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,270,1,0,0,0,0,0,2,1,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,63,0,0,0,0,0,0,0,1,0,0
131,8,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0
133,270,0,0,0,0,0,0,2,1,0,0
134,91,0,0,0,0,0,0,1,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0
137,81,0,0,0,0,1,0,1,0,0,0
138,261,0,0,0,0,0,2,2,1,0,0
139,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,142,0,0,0,0,1,0,1,1,0,0
142,160,0,1,0,0,1,2,1,1,0,0
143,270,1,0,0,0,0,0,2,1,10,0
501,0,0,0,0,0,0,0,0,0,0,0
527,93,0,0,0,0,1,0,1,0,0,0
